Crash ID,State,Month,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20211121,New South Wales,5,Saturday,8:10,Multiple,Yes,No,No,50,Passenger,Female,46,Major Cities of Australia,Sydney - Parramatta,Parramatta,Arterial Road,No,No,40_to_64,Weekend,Day
20211051,New South Wales,5,Saturday,12:40,Multiple,No,No,No,80,Motorcycle rider,Male,57,Outer Regional Australia,Capital Region,Snowy Monaro Regional,National or State Highway,No,No,40_to_64,Weekend,Day
20215037,Western Australia,5,Sunday,9:10,Single,No,No,No,110,Driver,Male,24,,,,,No,No,17_to_25,Weekend,Day
20211009,New South Wales,5,Saturday,12:25,Multiple,No,No,No,80,Motorcycle rider,Male,48,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,No,No,40_to_64,Weekend,Day
20215117,Western Australia,5,Sunday,9:37,Single,No,No,No,110,Passenger,Female,10,,,,,No,No,0_to_16,Weekend,Day
20213035,Queensland,5,Friday,21:00,Multiple,No,No,Yes,100,Driver,Male,67,Remote Australia,Darling Downs - Maranoa,Maranoa (R),National or State Highway,No,No,65_to_74,Weekend,Night
20215014,Western Australia,5,Saturday,10:35,Single,No,No,No,110,Motorcycle rider,Male,71,,,,,No,No,65_to_74,Weekend,Day
20214004,South Australia,5,Saturday,14:59,Multiple,No,No,No,110,Pedal cyclist,Male,69,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie City and Dists (M),Sub-arterial Road,No,No,65_to_74,Weekend,Day
20213170,Queensland,5,Saturday,1:00,Multiple,No,No,No,60,Passenger,Female,85,Major Cities of Australia,Brisbane - South,Brisbane (C),Sub-arterial Road,No,No,75_or_older,Weekend,Night
20211023,New South Wales,5,Saturday,13:15,Multiple,No,No,No,70,Driver,Female,67,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Arterial Road,No,No,65_to_74,Weekend,Day
20213129,Queensland,5,Sunday,16:00,Single,No,No,No,50,Passenger,Male,18,Inner Regional Australia,Moreton Bay - North,Sunshine Coast (R),Access road,No,No,17_to_25,Weekend,Day
20215011,Western Australia,5,Sunday,6:05,Multiple,No,No,Yes,110,Driver,Male,25,,,,,No,No,17_to_25,Weekend,Day
20213165,Queensland,5,Sunday,16:00,Single,No,No,No,100,Motorcycle rider,Male,39,Outer Regional Australia,Wide Bay,North Burnett (R),Collector Road,No,No,26_to_39,Weekend,Day
20211162,New South Wales,5,Saturday,15:02,Multiple,No,No,No,60,Motorcycle rider,Male,26,Major Cities of Australia,Sydney - Parramatta,Cumberland,National or State Highway,No,No,26_to_39,Weekend,Day
20213180,Queensland,5,Saturday,9:00,Multiple,No,No,No,100,Pedal cyclist,Male,78,Outer Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,75_or_older,Weekend,Day
20215072,Western Australia,5,Thursday,10:40,Single,No,No,No,60,Pedestrian,Female,90,,,,,No,No,75_or_older,Weekday,Day
